Peak,Region,Type,Index (F2),Index (F1),(F2) [ppm],(F1) [ppm],(F2) [Hz],(F1) [Hz],Intensity [abs],Annotation,
1,1,AUTOMATIC,260.0,688.0,13.4622,148.3051,10770.1727,12022.5546,27238.14,,
2,1,AUTOMATIC,362.0,731.0,12.3122,147.2691,9850.1354,11938.5702,27487.04,,
3,1,AUTOMATIC,398.0,759.0,11.9063,146.5945,9525.4163,11883.8827,28122.07,,
4,1,AUTOMATIC,278.0,669.0,13.2593,148.7628,10607.8132,12059.6640,29005.31,,
5,1,AUTOMATIC,280.0,683.0,13.2367,148.4255,10589.7733,12032.3202,29556.52,,
6,1,AUTOMATIC,417.0,301.0,11.6921,157.6290,9354.0368,12778.4140,31189.43,,
7,1,AUTOMATIC,295.0,106.0,13.0676,162.3271,10454.4736,13159.2733,31268.53,,
8,1,AUTOMATIC,363.0,740.0,12.3009,147.0522,9841.1154,11920.9921,32209.47,,
9,1,AUTOMATIC,335.0,736.0,12.6166,147.1486,10093.6747,11928.8046,34593.22,,
10,1,AUTOMATIC,319.0,722.0,12.7970,147.4859,10237.9943,11956.1483,35688.60,,
11,1,AUTOMATIC,265.0,695.0,13.4058,148.1364,10725.0729,12008.8827,39520.30,,
12,1,AUTOMATIC,214.0,89.0,13.9808,162.7367,11185.0915,13192.4765,39572.08,,
13,1,AUTOMATIC,338.0,739.0,12.5828,147.0763,10066.6148,11922.9452,40909.25,,
14,1,AUTOMATIC,184.0,87.0,14.3191,162.7849,11455.6907,13196.3827,42590.55,,
15,1,AUTOMATIC,369.0,731.0,12.2333,147.2691,9786.9956,11938.5702,49414.03,,
16,1,AUTOMATIC,210.0,96.0,14.0259,162.5681,11221.1714,13178.8046,50093.53,,
17,1,AUTOMATIC,421.0,777.0,11.6470,146.1608,9317.9569,11848.7265,50214.14,,
18,1,AUTOMATIC,359.0,732.0,12.3460,147.2450,9877.1953,11936.6171,52472.38,,
19,1,AUTOMATIC,276.0,695.0,13.2818,148.1364,10625.8532,12008.8827,52782.40,,
20,1,AUTOMATIC,175.0,80.0,14.4205,162.9536,11536.8705,13210.0546,53416.98,,
21,1,AUTOMATIC,312.0,719.0,12.8759,147.5582,10301.1341,11962.0077,53635.62,,
22,1,AUTOMATIC,290.0,105.0,13.1240,162.3512,10499.5735,13161.2265,54193.02,,
23,1,AUTOMATIC,373.0,733.0,12.1882,147.2209,9750.9157,11934.6640,57099.28,,
24,1,AUTOMATIC,267.0,682.0,13.3833,148.4496,10707.0329,12034.2733,57210.10,,
25,1,AUTOMATIC,230.0,115.0,13.8004,162.1103,11040.7719,13141.6952,61026.02,,
26,1,AUTOMATIC,346.0,711.0,12.4926,147.7509,9994.4550,11977.6327,62488.41,,
27,1,AUTOMATIC,306.0,718.0,12.9436,147.5823,10355.2539,11963.9608,63349.07,,
28,1,AUTOMATIC,325.0,717.0,12.7294,147.6064,10183.8744,11965.9140,64139.58,,
29,1,AUTOMATIC,271.0,696.0,13.3382,148.1123,10670.9530,12006.9296,68571.25,,
30,1,AUTOMATIC,256.0,121.0,13.5073,161.9658,10806.2526,13129.9765,68633.81,,
31,1,AUTOMATIC,247.0,115.0,13.6088,162.1103,10887.4324,13141.6952,82227.10,,
32,1,AUTOMATIC,195.0,94.0,14.1951,162.6163,11356.4710,13182.7108,90111.30,,
33,1,AUTOMATIC,415.0,775.0,11.7147,146.2090,9372.0768,11852.6327,90629.11,,
34,1,AUTOMATIC,221.0,99.0,13.9019,162.4958,11121.9517,13172.9452,91942.95,,
35,1,AUTOMATIC,305.0,115.0,12.9549,162.1103,10364.2739,13141.6952,92175.00,,
36,1,AUTOMATIC,261.0,124.0,13.4509,161.8935,10761.1528,13124.1171,92379.92,,
37,1,AUTOMATIC,275.0,124.0,13.2931,161.8935,10634.8731,13124.1171,96676.05,,
38,1,AUTOMATIC,200.0,98.0,14.1387,162.5199,11311.3712,13174.8983,98505.36,,
39,1,AUTOMATIC,314.0,124.0,12.8534,161.8935,10283.0941,13124.1171,99871.84,,
40,1,AUTOMATIC,275.0,132.0,13.2931,161.7007,10634.8731,13108.4921,103888.32,,
41,1,AUTOMATIC,359.0,750.0,12.3460,146.8113,9877.1953,11901.4608,115707.02,,
42,1,AUTOMATIC,300.0,104.0,13.0112,162.3753,10409.3738,13163.1796,131030.80,,
43,1,AUTOMATIC,504.0,323.0,10.7112,157.0990,8569.2991,12735.4452,140958.12,,
44,1,AUTOMATIC,218.0,110.0,13.9357,162.2308,11149.0116,13151.4608,145070.93,,
45,1,AUTOMATIC,350.0,728.0,12.4475,147.3414,9958.3751,11944.4296,150574.86,,
46,1,AUTOMATIC,562.0,377.0,10.0573,155.7980,8046.1406,12629.9765,180888.16,,
47,1,AUTOMATIC,293.0,141.0,13.0902,161.4839,10472.5136,13090.9140,185486.03,,
48,1,AUTOMATIC,448.0,309.0,11.3426,157.4363,9074.4177,12762.7890,192653.12,,
49,1,AUTOMATIC,251.0,94.0,13.5637,162.6163,10851.3525,13182.7108,196979.98,,
50,1,AUTOMATIC,471.0,303.0,11.0833,157.5808,8866.9583,12774.5077,209912.01,,
51,1,AUTOMATIC,450.0,275.0,11.3200,158.2554,9056.3777,12829.1952,210758.14,,
52,1,AUTOMATIC,241.0,88.0,13.6764,162.7608,10941.5522,13194.4296,218470.42,,
53,1,AUTOMATIC,456.0,308.0,11.2524,157.4604,9002.2579,12764.7421,222679.23,,
54,1,AUTOMATIC,255.0,96.0,13.5186,162.5681,10815.2726,13178.8046,226470.55,,
55,1,AUTOMATIC,214.0,112.0,13.9808,162.1826,11185.0915,13147.5546,232776.86,,
56,1,AUTOMATIC,285.0,140.0,13.1803,161.5080,10544.6734,13092.8671,240822.83,,
57,1,AUTOMATIC,269.0,126.0,13.3607,161.8453,10688.9930,13120.2108,264086.80,,
