,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1HWQ,7.141652581803424e-33,2.310573573187245e-28,8.173259226036043e-32,2.725227969326161e-34,3.8585063197751e-34,2.6443342851164638e-27,1.462538562483491e-27,5.4153637235425774e-33,1.9257174502096334e-13,3.4327993307925914e-42,0.9999999999998075,,,,,,,
1YMO,0.00014378560977589176,0.001063338572738676,0.1656639146329175,0.0,0.0,5.618670866028055e-10,0.0,0.0,5.927959839261209e-08,0.003119003870148986,0.823415017171933,0.006594880301020488,,,,,,
2L3E,9.673510408257948e-09,2.8076236167280086e-14,4.404607400723217e-09,4.775964231611229e-22,1.2783859466494133e-14,2.6242426847100615e-27,9.455205173213485e-11,9.603419741417277e-13,1.7556765210743982e-15,0.01614545710366613,0.983854528722661,,,,,,,
2LU0,0.014528410615846095,0.08754151385111275,0.020011058074000734,0.037057418500438984,0.014616804885816632,0.018548860799424687,0.12057742335900676,0.024163065075318017,0.032050744834447926,0.02694452917281821,0.5399301432068327,0.06403002762493668,,,,,,
2N6X,9.334490423768795e-09,1.5386739720236252e-07,1.7827015120958116e-09,2.9385604269971898e-08,1.2694536480140646e-07,2.092535530290893e-06,0.00045269481585256943,9.556048328629832e-11,0.007462107718796312,2.690895854475306e-09,0.9353396429148562,0.05674313791295014,,,,,,
2N7X,0.018803381013021682,0.05825430055458759,0.02793956294652406,0.00991514391629798,0.01109286593776168,0.4183961854171067,0.06841165416272202,0.01934146872977804,0.0072118978480850545,0.02044365602733828,0.34018988344677703,,,,,,,
2N82,0.04538026862289951,0.0679754078440402,0.08301530471894918,0.08050541824837068,0.05653995180623949,0.08978468529687832,0.09412221997078116,0.09196893053552983,0.049424634422946395,0.07748112544892362,0.15482708945786425,0.10897496362657737,,,,,,
2NBY,6.177480032738978e-05,0.003949710991190899,1.2086787646356526e-05,0.006462088609962285,0.026402170041588312,0.0007727959906304813,0.0015721021023770577,0.0057899642867660075,0.00031381590737347915,1.2705588972004312e-13,0.9546634904820107,,,,,,,
2NC0,2.016786936785985e-10,1.9428752038555856e-11,2.7542272369245992e-14,4.4216629854226647e-14,0.028067225668596762,6.74767112916818e-13,5.396691908246218e-09,6.964451024586122e-09,0.0027038610672198396,1.6254059334270192e-18,0.9692289006811865,,,,,,,
5KH8,0.041059717719526,0.02480286845652517,0.06273140691384843,0.037894046043015474,0.026192795069079226,0.04301580616103619,0.04799166435818992,0.028990236762388415,0.04001758845283671,0.06571993647029511,0.0782102041552916,0.05665032259343399,0.06846874703687209,0.050001810860005054,0.058649725569070436,0.11567797476553349,0.0782102041552916,0.0757149444577611
5KMZ,0.08697668295417574,0.08558116794269865,0.13878012926114064,0.0643617342554,0.09460717077425675,0.08007891521220449,0.0958600836741473,0.07646231253934402,0.09432203713999603,0.07523549747424069,0.10773426877239571,,,,,,,
6GZK,1.168447589130552e-14,6.393666100806172e-08,0.0,5.3381130484363594e-14,0.20479288869382342,3.5168498907355717e-06,1.3956162004230033e-22,0.2059887603336268,0.08372215877982192,0.0004190995452958396,0.5050735118608151,0.0,0.0,,,,,
